,v1,v2
64,ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,spam,valued customer pleased advise following recent review mob awarded bonus prize call
66,ham,today song dedicated day song dedicate send ur valuable frnds first rply
67,spam,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
68,spam,hear new divorce barbie comes kens stuff
69,ham,plane give month end
70,ham,wah lucky man save money hee
71,ham,finished class
72,ham,hi babe im home wanna something xx
73,ham,k k performed
74,ham,call
75,ham,waiting machan call free
76,ham,thats cool gentleman treat dignity respect
77,ham,like peoples much shy pa
78,ham,operate lt gt
79,ham,still looking job much tas earn
80,ham,sorry ill call later
81,ham,k call ah
82,ham,ok way home hi hi
83,ham,place man
84,ham,yup next stop
85,ham,call later dont network urgnt sms
86,ham,real getting yo need tickets one jacket im done already used multis
87,ham,yes started send requests make pain came back im back bed double coins factory gotta cash nitros
88,ham,im really still tonight babe
89,ham,ela kano il download come wen ur free
90,ham,yeah stand close tho catch something
91,ham,sorry pain ok meet another night spent late afternoon casualty means havent done stuff moro includes time sheets sorry
92,ham,smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz someone still loves see smiling
93,spam,please call customer service representative pm guaranteed cash prize
94,ham,havent planning buy later check already lido got show e afternoon finish work already
95,spam,free ringtone waiting collected simply text password mix verify get usher britney fml
96,ham,watching telugu movie wat abt
97,ham,see finish loads loans pay
98,ham,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob ham
99,ham,please dont text anymore nothing else say
100,ham,okay name ur price long legal wen pick ave x ams xx
101,ham,im still looking car buy gone driving test yet
102,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
103,ham,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
104,ham,umma life vava umma love lot dear
105,ham,thanks lot wishes birthday thanks making birthday truly memorable
106,ham,aight ill hit get cash
107,ham,would ip address test considering computer isnt minecraft server
108,ham,know grumpy old people mom like better lying always one play jokes
109,ham,dont worry guess hes busy
110,ham,plural noun research
111,ham,going dinner msg
112,ham,im ok wif cos like try new things scared dun like mah cos said loud
113,spam,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm
114,ham,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weight haha anythin special happened
115,ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
116,spam,winner specially selected receive holiday flights inc speak live operator claim p min
117,ham,goodo yes must speak friday egg potato ratio tortilla needed
118,ham,hmm uncle informed hes paying school directly pls buy food
119,spam,private account statement shows unredeemed bonus points claim call identifier code expires
120,spam,urgent mobile awarded bonus caller prize final try contact call landline box wr c ppm
121,ham,new address apples pairs malarky
122,spam,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
123,ham,going sao mu today done
124,ham,predict wat time finish buying
125,ham,good stuff
126,ham,know yetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
127,ham,room
128,ham,hey girl r hope r well del r bak long time c give call sum time lucyxx
129,ham,k k much cost
130,ham,im home
131,ham,dear call tmorrow pls accomodate
132,ham,first answer question
133,spam,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr sp tyrone
134,spam,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt ec p msg p
135,ham,haf msn yijue hotmail com
136,ham,call meet
137,ham,check rooms befor activities
138,spam,youll rcv msgs chat svc free hardcore services text go get nothing must age verify yr network try
139,ham,got c lazy type forgot lect saw pouch like v nice
140,ham,k text youre way
141,ham,sir waiting mail
142,ham,swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni
143,ham,know pls open back
144,ham,yes see ya dot
145,ham,whats staff name taking class us
146,spam,freemsg havent replied text im randy sexy female live local luv hear netcollex ltd p per msg reply stop end
147,ham,ummma call check life begin qatar pls pray hard
148,ham,k deleted contact
149,ham,sindu got job birla soft
150,ham,wine flowing im nevering
151,ham,yup thk cine better cos need go plaza mah
152,ham,ok ur typical reply
153,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
154,ham,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one
155,ham,aaooooright work
156,ham,im leaving house
157,ham,hello love get interview today happy good boy think missing
158,spam,customer service annoncement new years delivery waiting please call arrange delivery
159,spam,winner specially selected receive cash holiday flights inc speak live operator claim
160,ham,keep safe need miss already envy everyone sees real life
161,ham,new car house parents new job hand
162,ham,im love im excited day spend make happy
163,spam,pls stop bootydelious f inviting friend reply yes see www sms ac bootydelious stop send stop frnd
164,spam,bangbabes ur order way receive service msg download ur content goto wap bangb tv ur mobile internet service menu
165,ham,place ur points e cultures module already
166,spam,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs
167,ham,hi frnd best way avoid missunderstding wit beloved ones
168,ham,great escape fancy bridge needs lager see tomo
169,ham,yes completely form clark also utter waste
170,ham,sir need axis bank account bank address
171,ham,hmmm thk sure got time hop ard ya go free abt muz call discuss liao
172,ham,time coming later
173,ham,bloody hell cant believe forgot surname mr ill give clue spanish begins
174,ham,well im gonna finish bath good fine night
175,ham,let know youve got money carlos make call
176,ham,still going mall
177,ham,turns friends staying whole show wont back til lt gt feel free go ahead smoke lt gt worth
178,ham,text doesnt reply let know log
179,ham,hi spoke maneesha v wed like know satisfied experience reply toll free yes
180,ham,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
181,ham,lol trust
182,ham,ok gentleman treat dignity respect
183,ham,guys close
184,ham,going nothing great bye
185,ham,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
186,ham,haha awesome minute
187,spam,please call customer service representative freephone pm guaranteed cash prize
188,ham,got xmas radio times get
189,ham,jus reached home go bathe first sis using net tell finishes k
190,spam,unique enough find th august www areyouunique co uk
191,ham,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week
192,ham,hi finally completed course
193,ham,stop however suggest stays someone able give ors every stool
194,ham,hope youve settled new school year wishin gr day
195,ham,gud mrng dear hav nice day
196,ham,got persons story
197,ham,hamster dead hey tmr meet pm orchard mrt
198,ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx
199,ham,found enc lt gt
200,ham,sent lt gt bucks
201,ham,hello darlin ive finished college txt finish love kate xxx
202,ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
203,ham,goodmorning sleeping ga
204,ham,call alter ok
205,ham,say like dat dun buy ericsson oso cannot oredi lar
206,ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
207,ham,aight yo dats straight dogg
208,ham,please give us connection today lt decimal gt refund bill
209,ham,shoot big loads get ready
210,ham,whats bruv hope great break rewarding semester
211,ham,home always chat
212,ham,k k good study well
213,ham,yup noe leh
214,ham,sounds great home
215,ham,finally match heading towards draw prediction
216,ham,tired havent slept well past nights
217,ham,easy ah sen got selected means good
218,ham,take exam march
219,ham,yeah think use gt atm register sure theres anyway help let know sure ready
220,ham,ok prob take ur time
221,ham,os called ubandu run without installing hard disk use os copy important files system give repair shop
222,ham,sorry ill call later
223,ham,say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
224,spam,new mobiles must go txt nokia collect today www tc biz optout gbp mtmsg
225,ham,would really appreciate call need someone talk
226,spam,meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
227,ham,hey company elama po mudyadhu
228,ham,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
229,ham,dear good morning
230,ham,get gandhipuram walk cross cut road right side lt gt street road turn first right
231,ham,dear going rubber place
232,ham,sorry battery died yeah im
233,ham,yes tv always available work place
234,spam,text meet someone sexy today find date even flirt join p reply name age eg sam msg recd thirtyeight pence
235,ham,printed oh lt gt come upstairs
236,ham,ill little closer like bus stop street
237,ham,wil reach
238,ham,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct
239,spam,secret admirer looking make contact find r reveal thinks ur special call
240,ham,tomarrow final hearing laptop case cant
241,ham,pleassssssseeeeee tel v avent done sportsx
242,ham,okay shining meant signing sounds better
243,ham,although told dat im baig face watches really like e watch gave cos fr thanx everything dat uve done today im touched
244,ham,dont remember old commercial
245,ham,late said website didnt dont slippers
246,ham,asked call ok
247,ham,kallis wont bat nd innings
248,ham,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep
249,spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
250,ham,ranjith cal drpd deeraj deepak min hold
251,ham,wen ur lovable bcums angry wid dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
252,ham,
253,ham,ups days also shipping company takes wks way usps takes week gets lag may bribe nipost get stuff
254,ham,im back lemme know youre ready
255,ham,dont necessarily expect done get back though im headin
256,ham,mmm yummy babe nice jolt suzy
257,ham,lover need
258,spam,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call
259,ham,parked next mini coming today think
260,ham,yup
261,ham,anyway im going shopping cos sis done yet dun disturb liao
262,ham,luton ring ur around h
263,spam,hey really horny want chat see naked text hot text charged pm unsubscribe text stop
264,ham,dint come us
265,ham,wana plan trip sometme
266,ham,sure yet still trying get hold
267,spam,ur ringtone service changed free credits go club mobiles com choose content stop txt club stop p wk club po box mk wt
268,ham,evo download flash jealous
269,spam,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge
270,ham,come mu sorting narcotics situation
271,ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay
272,spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info www percent real com
273,ham,usf guess might well take car
274,ham,objection bf coming
275,ham,thanx
276,ham,tell rob mack gf theater
277,ham,awesome ill see bit
278,ham,sent type food like
279,ham,done handed celebrations full swing yet
280,ham,got called tool
281,ham,wen miss someone
282,ham,ok asked money far
283,ham,okie
284,ham,yeah think usual guys still passed last night get ahold anybody let know ill throw
285,ham,k might come tonight class lets early
286,ham,ok
287,ham,hi baby im cruisin girl friend r give call hour home thats alright fone fone love jenny xxx
288,ham,life means lot love life love people life world calls friends call world ge
289,ham,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense
290,ham,hey told name gautham ah
291,ham,haf found feel stupid da v cam working
292,ham,oops got bit
293,ham,much buzy
294,ham,accidentally deleted message resend please
295,spam,mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfeb cs apply
296,ham,unless situation go gurl would appropriate
297,ham,hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl
298,ham,cant pick phone right pls send message
299,ham,need coffee run tomo cant believe time week already
300,ham,awesome remember last time got somebody high first time diesel v
301,ham,shit really shocking scary cant imagine second def night think somewhere could crash night save taxi
302,ham,oh way food fridge want go meal tonight
303,ham,womdarfull actor
304,spam,sms ac blind date rodds aberdeen united kingdom check http img sms ac w icmb cktz r blind dates send hide
305,ham,yup remb think book
306,ham,jos ask wana meet
307,ham,lol yes friendship hanging thread cause wont buy stuff
308,spam,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap
309,ham,garage keys arent bookshelf
310,ham,today accept day accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
311,spam,think ur smart win week weekly quiz text play cs winnersclub po box uz gbp week
312,ham,says hell give call friends got money hes definitely buying end week
313,ham,hi way day normal way real ur unique hope know rest mylife hope find wot lost
314,ham,made day great day
315,ham,k k advance happy pongal
316,ham,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
317,ham,really dude friends im afraid
318,spam,december mobile mths entitled update latest colour camera mobile free call mobile update co free
319,ham,coffee cake guess
320,ham,merry christmas babe love ya kisses
321,ham,hey dont go watch x men lunch haha
322,ham,cud tell ppl im gona b bit l cos buses hav gon past cos full im still waitin pete x
323,ham,would great well guild could meet bristol road somewhere get touch weekend plans take flight good week
324,ham,problem
325,ham,calls messages missed calls
326,ham,hi da todays class
327,ham,id say thats good sign well know track record reading women
328,ham,cool text youre parked
329,ham,im reading text sent meant joke read light
330,ham,k k apo k good movie
331,ham,maybe could get book tomo return immediately something
332,spam,call germany pence per minute call fixed line via access number prepayment direct access
333,ham,chance might evaporated soon violated privacy stealing phone number employers paperwork cool please contact report supervisor
334,spam,valentines day special win quiz take partner trip lifetime send go p msg rcvd custcare
335,ham,ta daaaaa home babe still
336,ham,cool come havent wined dined
337,ham,sleeping surfing
338,ham,sorry ill call later
339,ham,calling right call hand phone
340,ham,ok thats great thanx lot
341,ham,take post come must texts happy reading one wiv hello caroline end favourite bless
342,ham,hiding stranger
343,ham,interested like
344,ham,sister cleared two round birla soft yesterday
345,ham,gudnite tc practice going
346,ham,dis yijue jus saw ur mail case huiming havent sent num dis num
347,ham,one small prestige problem
348,spam,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x
349,ham,checking really miss seeing jeremiah great month
350,ham,nah cant help ive never iphone
351,ham,youre car hour half im going apeshit
352,ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good
353,ham,yo guys ever figure much need alcohol jay trying figure much safely spend weed
354,ham,lt gt ish minutes minutes ago wtf
355,ham,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
356,spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
357,spam,ur cash balance currently pounds maximize ur cash send cash p msg cc hg suite lands row w j hl
358,ham,im actor work work evening sleep late since im unemployed moment always sleep late youre unemployed every day saturday
359,ham,hello got st andrews boy long way cold keep posted
360,ham,ha ha cool cool chikku chikku db
361,ham,oh ok prob
362,ham,check audreys status right
363,ham,busy trying finish new year looking forward finally meeting
364,ham,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always
365,ham,well know z take care worries
366,spam,update xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd call optout f q
367,spam,discount code rp stop messages reply stop www regalportfolio co uk customer services
368,ham,wat uniform get
369,ham,cool text youre ready
370,ham,hello boytoy geeee miss already woke wish bed cuddling love
371,ham,spoil bed well
372,ham,im going bath msg next lt gt min
373,ham,cant keep talking people sure pay agree price pls tell want really buy much willing pay
374,spam,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services
375,ham,say happen
376,ham,could seen didt recognise face
377,ham,well theres lot things happening lindsay new years sighs bars ptbo blue heron something going
378,ham,keep payasam rinu brings
379,ham,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake
380,ham,guess thats worried must know theres way body repairs im quite sure shouldnt worry well take slow first tests guide ovulation relax nothing youve said reason worry keep followin
381,ham,yeah sure give couple minutes track wallet
382,ham,hey leave big deal take care
383,ham,hey late ah meet
384,spam,double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd call optout n dx
385,ham,took mr owl licks
386,ham,customer place call
387,ham,mm time dont like fun
388,spam,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update stoptxt
389,ham,yup lunch buffet eat already
390,ham,huh late fr dinner
391,ham,hey sat going intro pilates kickboxing
392,ham,morning ok
393,ham,yes think office lap room think thats last days didnt shut
394,ham,pick bout ish time going
395,ham,performance award calculated every two month current one month period
396,ham,actually sleeping still might call back text gr rock sis send text wen wake
397,ham,always putting business put pictures ass facebook one open people ive ever met would think picture room would hurt make feel violated
398,ham,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india
399,ham,hmmm k want change field quickly da wanna get system administrator network administrator
400,spam,free ringtone text first poly text get true tone help st free tones x pw e nd txt stop
401,ham,dear chechi talk
402,ham,hair cream shipped
403,ham,none thats happening til get though
404,ham,yep great loxahatchee xmas tree burning lt gt starts hour
405,ham,haha get used driving usf man know lot stoners
406,ham,well slightly disastrous class pm fav darlings hope day ok coffee wld good cant stay late tomorrow time place always
407,ham,hello good week fancy drink something later
408,ham,headin towards busetop
409,ham,message text missing sender name missing number missing sent date missing missing lot thats everything missing sent via fullonsms com
410,ham,come room point iron plan weekend
411,ham,cos want thing
412,ham,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah
413,ham,bring home wendy
414,spam,dating service cal l box sk ch
415,ham,whatsup dont want sleep
416,ham,alright new goal
417,spam,free entry weekly competition text word win c www txttowin co uk
418,ham,alright ill head minutes text meet
419,spam,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ads p
420,ham,yes last week im taking live call
421,spam,someone contacted dating service entered phone fancy find call landline pobox n tf p
422,ham,siva hostel aha
423,spam,urgent mobile number awarded prize guaranteed call land line claim valid hrs
424,ham,send ur friends receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply
425,ham,ok shell ok guess
426,ham,aathi dear
427,ham,pain urination thing else
428,ham,esplanade mind giving lift cos got car today
429,ham,wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob
430,ham,home watching tv lor
431,ham,usually take fifteen fucking minutes respond yes question
432,spam,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wc n xx
433,ham,booked ticket pongal
434,ham,available im like right around hillsborough amp lt gt th
435,ham,message sent askin lt gt dollars shoul pay lt gt lt gt
436,ham,ask g iouri ive told story like ten times already
437,ham,long applebees fucking take
438,ham,hi hope get txt journey hasnt gd mins late think
439,ham,like love arrange
440,ham,yes really great bhaji told kallis best cricketer sachin world tough get
441,ham,supposed wake gt
442,ham,oic saw tot din c found group liao
443,ham,sorry ill call later
444,ham,hey hey werethe monkeespeople say monkeyaround howdy gorgeous
445,ham,sorry battery died come im getting gram wheres place
446,ham,well done blimey exercise yeah kinda remember wot hmm
447,ham,wont get concentration dear know mind everything
448,ham,lol made plans new years
449,ham,min later k
450,ham,hanks lotsly
451,ham,thanks hope good day today
452,ham,k k detail want transfer acc enough
453,ham,ok tell stay yeah tough optimistic things improve month
454,spam,loan purpose homeowners tenants welcome previously refused still help call free text back help
455,ham,si si think ill go make oreo truffles
456,ham,look amy ure beautiful intelligent woman like lot know like like worry
457,ham,hope thats result consistently intelligent kind start asking practicum links keep ears open best ttyl
458,ham,call cost guess isnt bad miss ya need ya want ya love ya
459,ham,going thru different feeling wavering decisions coping individual time heal everything believe
460,ham,go phone gonna die stay
461,ham,great never better day gives even reasons thank god
462,spam,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july cs apply opt available
463,ham,sorry ill call later ok bye
464,ham,ok way railway
465,ham,great princess love giving receiving oral doggy style fave position enjoy making love lt gt times per night
466,ham,dont put stuff roads keep getting slippery
467,ham,going ride bike
468,ham,yup need ill jus wait e rain stop
469,ham,many company tell language
470,spam,okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cw wx ppm
471,ham,long since screamed princess
472,ham,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollars got removed banks differ charges also differ sure trust ja person sending account details cos
473,spam,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network txting moan nyt ec p msg p
474,ham,nice line said broken heart plz dont cum times infront wise trust good
475,ham,ok im gonna head usf like fifteen minutes
476,ham,love aathi love lot
477,ham,tension ah machi problem
478,ham,k pick another th youre done
479,ham,whenre guys getting back g said thinking staying mcr
480,ham,almost see sec
481,ham,yo carlos friends already asking working weekend
482,ham,watching tv lor
483,ham,thank baby cant wait taste real thing
484,ham,change fb jaykwon thuglyfe falconerf
485,ham,win really side long time
486,spam,free message activate free text messages replying message word free terms conditions visit www com
487,ham,dear reached railway happen
488,ham,depends quality want type sent boye faded glory want ralphs maybe
489,ham,think ive fixed send test message
490,ham,sorry man accounts dry would want could trade back half could buy shit credit card
491,spam,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss
492,ham,sorry meeting ill call later
493,ham,class lt gt reunion
494,ham,free call
495,ham,got meh
496,ham,nope think go monday sorry replied late
497,ham,told accenture confirm true
498,ham,kate jackson rec center ish right
499,ham,dear reache room
500,ham,fighting world easy either win lose bt fightng close dificult lose lose win still lose
501,ham,come
502,ham,check nuerologist
503,ham,lolnice went fish water
504,spam,congratulations weeks competition draw prize claim call b cs stop sms ppm
505,ham,waiting e car dats bored wat cos wait outside got nothing home stuff watch tv wat
506,ham,maybe westshore hyde park village place near house
507,ham,know hows anthony bringing money ive school fees pay rent stuff like thats need help friend need
508,ham,whats significance
509,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
510,ham,latest gs still scrounge ammo want give new ak try
511,ham,prabha im soryda realy frm heart im sory
512,ham,lol ok forgiven
513,ham,jst change tat
514,spam,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
515,ham,competition
516,spam,boltblue tones p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt
517,spam,credits topped http www bubbletext com renewal pin tgxxrz
518,ham,way transport less problematic sat night way want ask n join bday feel free need know definite nos booking fri
519,ham,usually person unconscious thats children adults may behave abnormally call
520,ham,thats ebay might less elsewhere
521,ham,shall come get pickle
522,ham,gonna go get tacos
523,ham,thats rude campus
524,spam,urgent mobile awarded bonus caller prize nd attempt contact call box qu
525,ham,hi wont b ard christmas enjoy n merry xmas
526,spam,todays offer claim ur worth discount vouchers text yes savamob member offers mobile cs sub unsub reply x
527,ham,yes pretty lady like single
528,spam,recieve tone within next hrs terms conditions please see channel teletext pg
529,ham,jay says youre double faggot
530,spam,private account statement shows un redeemed points call identifier code expires
531,ham,today sunday sunday holiday work
532,ham,gudnite tc practice going
533,ham,ill late
534,ham,ive called hoping l r malaria know miss guys miss bani big pls give love especially great day
535,ham,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea
536,ham,probably gonna see later tonight lt
537,ham,maybe fat fingers press buttons doesnt know
538,ham,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
539,ham,tirupur da started office call
540,spam,www applausestore com monthlysubscription p msg max month csc web age stop txt stop
541,ham,famous quote develop ability listen anything unconditionally without losing temper self confidence means married
542,ham,going college pa else ill come self pa
543,ham,oclock mine bash flat plan
544,ham,girl stay bed girl doesnt need recovery time id rather pass fun cooped bed
545,ham,special
546,ham,know need get hotel got invitation apologise cali sweet come english blokes weddin
547,ham,sorry took long omw
548,ham,wait lt gt min
549,ham,ok give minutes think see btw youre alibi cutting hair whole time
550,ham,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
551,ham,hurry ive weed deficient like three days
552,ham,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
553,ham,ok every night take warm bath drink cup milk youll see work magic still need loose weight know
554,ham,look frying pan case cheap book perhaps silly frying pan likely book
555,ham,well uv causes mutations sunscreen like essential thesedays
556,ham,lunch online
557,ham,know friend already told
558,ham,hi princess thank pics pretty
559,ham,aiyo always c ex one dunno abt mei reply first time reply fast lucky workin huh got bao ur sugardad ah gee
560,ham,hi msg im office
561,ham,thanx e brownie v nice
562,ham,geeeee love much barely stand
563,spam,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm
564,ham,fuck babe miss already know cant let send money towards net need want crave
565,ham,ill call mrw ninish address icky american freek wont stop callin bad jen k eh
566,ham,oooh bed ridden ey thinking
567,ham,anyways go gym whatever love smiles hope ok good day babe miss much already
568,ham,love daddy make scream pleasure going slap ass dick
569,ham,wot wanna missy
570,ham,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee
571,ham,know lab goggles went
572,ham,open door
573,ham,waiting call
574,ham,nope waiting sch daddy
575,spam,cash prize claim call
576,ham,im tired arguing week week want ill
577,ham,wait sch finish ard
578,spam,mobile number claim calls us back ring claims hot line
579,ham,arngd marriage r walkin unfortuntly snake bites bt love marriage dancing frnt snake amp sayin bite bite
580,ham,huh early dinner outside izzit
581,ham,ok anyway need change said
582,spam,tried contact reply offer mins textand new video phone call reply free delivery tomorrow
583,ham,ex wife able kids want kids one day
584,ham,hows scotland hope showing jjc tendencies take care live dream
585,ham,tell headache want use hour sick time
586,ham,dun thk ill quit yet hmmm go jazz yogasana oso go meet em lessons den
587,ham,pete please ring meive hardly gotany credit
588,ham,ya srsly better yi tho
589,ham,im meeting call later
590,spam,ur chance win wkly shopping spree txt shop ts cs www txt shop com custcare x p wk
